longitude,latitude,Feature:string,GLF#:integer,parent_ima:string,glf_head_e:double,glf_head_l:double,glf_termin:double,glf_termin1:double,midchannel:double,midchannel1:double,midchannel2:double,midchannel3:double,center_e_l:double,center_lat:double,glf_length:double,glf_width_:double,glf_area_s:double,glf_orient:double,buffer_min:double,buffer_max:double,buffer_mea:double,buffer_std:double,elongation:double,Fill Color:color
273.73599,38.05865,point,68,B07_012348_2174_XN_37N086W,273.7856,38.0824,273.6864,38.0408,273.7311,38.0647,273.7358,38.0526,273.74,38.06,5.25,0.75,3.93,241.99,1410.0,2542.0,2151.21,296.05,6.99,0 204 255
272.89355,36.70485,point,69,P16_007219_2178_XN_37N087W,272.8708,36.6891,272.9163,36.7271,272.9042,36.7,272.8916,36.7097,272.89,36.7,3.12,0.83,2.59,43.81,789.0,1408.0,1099.55,188.2,3.76,0 204 255
269.60889,40.2473,point,70,P17_007786_2184_XI_38N089W,269.4893,40.3162,269.7285,40.2009,269.583,40.1853,269.6387,40.3093,269.61,40.25,12.8,7.77,99.43,122.2,892.0,1365.0,1057.1,100.4,1.65,0 204 255
269.02289,34.9359,point,71,P14_006639_2145_XN_34N090W,269.0156,34.917,269.0302,34.9567,269.0277,34.9342,269.0179,34.9376,269.02,34.94,2.46,0.52,1.27,16.77,1301.0,2485.0,1827.29,367.78,4.75,0 204 255
269.29614,39.6321,point,72,P15_006784_2196_XN_39N090W,269.3252,39.6677,269.2671,39.5857,269.291,39.6384,269.3101,39.6258,269.3,39.63,5.54,1.15,6.36,208.64,1109.0,2167.0,1602.21,300.9,4.82,0 204 255
269.47266,39.78935,point,73,P15_006784_2196_XN_39N090W,269.2861,39.8211,269.6592,39.7732,269.4717,39.7127,269.4795,39.866,269.47,39.79,17.23,9.09,156.64,99.37,1220.0,2333.0,1853.12,331.27,1.89,0 204 255
267.93536,38.9375,point,74,P03_002103_2189_XN_38N091W,267.9771,38.8967,267.8936,38.991,267.9585,38.9558,267.918,38.9192,267.94,38.94,6.79,2.86,19.42,325.47,587.0,1263.0,1022.58,193.39,2.37,0 204 255
268.78299,39.75785,point,75,P17_007641_2196_XN_39N091W,268.8438,39.7581,268.7222,39.7566,268.7832,39.7664,268.7822,39.7493,268.78,39.76,5.54,1.01,5.62,269.12,691.0,1829.0,1446.07,310.41,5.46,0 204 255
268.37961,38.8081,point,76,B01_009856_2194_XN_39N091W,268.3503,38.8257,268.4089,38.7945,268.3721,38.8042,268.3774,38.812,268.38,38.81,3.28,0.52,1.71,124.33,669.0,1643.0,1079.7,253.96,6.27,0 204 255
268.34814,38.78725,point,77,B01_009856_2194_XN_39N091W,268.3298,38.7962,268.3665,38.771,268.3413,38.7847,268.3457,38.7898,268.35,38.79,2.26,0.36,0.82,131.36,640.0,1522.0,973.42,228.98,6.2,0 204 255
